,Province/State,Country/Region,Lat,Long,ReportDate,ConfirmedCases,Deaths,US_State
43,Prince Edward Island,Canada,46.5107,-63.4168,2020-01-22,0,0,
44,Quebec,Canada,52.9399,-73.5491,2020-01-22,0,0,
45,Saskatchewan,Canada,52.9399,-106.4509,2020-01-22,0,0,
46,Unknown,Central African Republic,6.6111,20.9394,2020-01-22,0,0,
47,Unknown,Chad,15.4542,18.7322,2020-01-22,0,0,
48,Unknown,Chile,-35.6751,-71.543,2020-01-22,0,0,
49,Anhui,China,31.8257,117.2264,2020-01-22,1,0,
50,Beijing,China,40.1824,116.4142,2020-01-22,14,0,
51,Chongqing,China,30.0572,107.874,2020-01-22,6,0,
52,Fujian,China,26.0789,117.9874,2020-01-22,1,0,
53,Gansu,China,37.8099,101.0583,2020-01-22,0,0,
54,Guangdong,China,23.3417,113.4244,2020-01-22,26,0,
55,Guangxi,China,23.8298,108.7881,2020-01-22,2,0,
56,Guizhou,China,26.8154,106.8748,2020-01-22,1,0,
57,Hainan,China,19.1959,109.7453,2020-01-22,4,0,
58,Hebei,China,39.549,116.1306,2020-01-22,1,0,
59,Heilongjiang,China,47.861999999999995,127.7615,2020-01-22,0,0,
60,Henan,China,33.882,113.61399999999999,2020-01-22,5,0,
61,Hong Kong,China,22.3,114.2,2020-01-22,0,0,
62,Hubei,China,30.9756,112.2707,2020-01-22,444,17,
63,Hunan,China,27.6104,111.7088,2020-01-22,4,0,
64,Inner Mongolia,China,44.0935,113.9448,2020-01-22,0,0,
65,Jiangsu,China,32.9711,119.455,2020-01-22,1,0,
66,Jiangxi,China,27.614,115.7221,2020-01-22,2,0,
67,Jilin,China,43.6661,126.1923,2020-01-22,0,0,
68,Liaoning,China,41.2956,122.6085,2020-01-22,2,0,
69,Macau,China,22.1667,113.55,2020-01-22,1,0,
70,Ningxia,China,37.2692,106.1655,2020-01-22,1,0,
71,Qinghai,China,35.7452,95.9956,2020-01-22,0,0,
72,Shaanxi,China,35.1917,108.8701,2020-01-22,0,0,
73,Shandong,China,36.3427,118.1498,2020-01-22,2,0,
74,Shanghai,China,31.201999999999998,121.4491,2020-01-22,9,0,
75,Shanxi,China,37.5777,112.2922,2020-01-22,1,0,
76,Sichuan,China,30.6171,102.7103,2020-01-22,5,0,
77,Tianjin,China,39.3054,117.323,2020-01-22,4,0,
78,Tibet,China,31.6927,88.0924,2020-01-22,0,0,
79,Xinjiang,China,41.1129,85.2401,2020-01-22,0,0,
80,Yunnan,China,24.974,101.48700000000001,2020-01-22,1,0,
81,Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,
82,Unknown,Colombia,4.5709,-74.2973,2020-01-22,0,0,
83,Unknown,Congo (Brazzaville),-4.0383,21.7587,2020-01-22,0,0,
84,Unknown,Congo (Kinshasa),-4.0383,21.7587,2020-01-22,0,0,
85,Unknown,Costa Rica,9.7489,-83.7534,2020-01-22,0,0,
86,Unknown,Cote d'Ivoire,7.54,-5.5471,2020-01-22,0,0,
87,Unknown,Croatia,45.1,15.2,2020-01-22,0,0,
88,Unknown,Diamond Princess,0.0,0.0,2020-01-22,0,0,
89,Unknown,Cuba,22.0,-80.0,2020-01-22,0,0,
90,Unknown,Cyprus,35.1264,33.4299,2020-01-22,0,0,
91,Unknown,Czechia,49.8175,15.472999999999999,2020-01-22,0,0,
92,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-22,0,0,
93,Greenland,Denmark,71.7069,-42.6043,2020-01-22,0,0,
94,Unknown,Denmark,56.2639,9.5018,2020-01-22,0,0,
95,Unknown,Djibouti,11.8251,42.5903,2020-01-22,0,0,
96,Unknown,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,
97,Unknown,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,
98,Unknown,Egypt,26.0,30.0,2020-01-22,0,0,
99,Unknown,El Salvador,13.7942,-88.8965,2020-01-22,0,0,
100,Unknown,Equatorial Guinea,1.5,10.0,2020-01-22,0,0,
101,Unknown,Eritrea,15.1794,39.7823,2020-01-22,0,0,
102,Unknown,Estonia,58.5953,25.0136,2020-01-22,0,0,
103,Unknown,Eswatini,-26.5225,31.4659,2020-01-22,0,0,
104,Unknown,Ethiopia,9.145,40.4897,2020-01-22,0,0,
105,Unknown,Fiji,-17.7134,178.065,2020-01-22,0,0,
106,Unknown,Finland,64.0,26.0,2020-01-22,0,0,
107,French Guiana,France,3.9339,-53.1258,2020-01-22,0,0,
108,French Polynesia,France,-17.6797,149.4068,2020-01-22,0,0,
109,Guadeloupe,France,16.25,-61.5833,2020-01-22,0,0,
110,Mayotte,France,-12.8275,45.1662,2020-01-22,0,0,
111,New Caledonia,France,-20.9043,165.618,2020-01-22,0,0,
112,Reunion,France,-21.1351,55.2471,2020-01-22,0,0,
113,Saint Barthelemy,France,17.9,-62.8333,2020-01-22,0,0,
114,St Martin,France,18.0708,-63.0501,2020-01-22,0,0,
115,Martinique,France,14.6415,-61.0242,2020-01-22,0,0,
116,Unknown,France,46.2276,2.2137,2020-01-22,0,0,
117,Unknown,Gabon,-0.8037,11.6094,2020-01-22,0,0,
118,Unknown,Gambia,13.4432,-15.3101,2020-01-22,0,0,
119,Unknown,Georgia,42.3154,43.3569,2020-01-22,0,0,
120,Unknown,Germany,51.0,9.0,2020-01-22,0,0,
121,Unknown,Ghana,7.9465,-1.0232,2020-01-22,0,0,
122,Unknown,Greece,39.0742,21.8243,2020-01-22,0,0,
123,Unknown,Guatemala,15.7835,-90.2308,2020-01-22,0,0,
124,Unknown,Guinea,9.9456,-9.6966,2020-01-22,0,0,
125,Unknown,Guyana,5.0,-58.75,2020-01-22,0,0,
126,Unknown,Haiti,18.9712,-72.2852,2020-01-22,0,0,
127,Unknown,Holy See,41.9029,12.4534,2020-01-22,0,0,
128,Unknown,Honduras,15.2,-86.2419,2020-01-22,0,0,
129,Unknown,Hungary,47.1625,19.5033,2020-01-22,0,0,
130,Unknown,Iceland,64.9631,-19.0208,2020-01-22,0,0,
131,Unknown,India,21.0,78.0,2020-01-22,0,0,
132,Unknown,Indonesia,-0.7893,113.9213,2020-01-22,0,0,
133,Unknown,Iran,32.0,53.0,2020-01-22,0,0,
134,Unknown,Iraq,33.0,44.0,2020-01-22,0,0,
135,Unknown,Ireland,53.1424,-7.6921,2020-01-22,0,0,
136,Unknown,Israel,31.0,35.0,2020-01-22,0,0,
137,Unknown,Italy,43.0,12.0,2020-01-22,0,0,
138,Unknown,Jamaica,18.1096,-77.2975,2020-01-22,0,0,
139,Unknown,Japan,36.0,138.0,2020-01-22,2,0,
140,Unknown,Jordan,31.24,36.51,2020-01-22,0,0,
141,Unknown,Kazakhstan,48.0196,66.9237,2020-01-22,0,0,
142,Unknown,Kenya,-0.0236,37.9062,2020-01-22,0,0,
143,Unknown,"Korea, South",36.0,128.0,2020-01-22,1,0,
144,Unknown,Kuwait,29.5,47.75,2020-01-22,0,0,
145,Unknown,Kyrgyzstan,41.2044,74.7661,2020-01-22,0,0,
146,Unknown,Latvia,56.8796,24.6032,2020-01-22,0,0,
147,Unknown,Lebanon,33.8547,35.8623,2020-01-22,0,0,
148,Unknown,Liberia,6.4281,-9.4295,2020-01-22,0,0,
149,Unknown,Liechtenstein,47.14,9.55,2020-01-22,0,0,
150,Unknown,Lithuania,55.1694,23.8813,2020-01-22,0,0,
151,Unknown,Luxembourg,49.8153,6.1296,2020-01-22,0,0,
152,Unknown,Madagascar,-18.7669,46.8691,2020-01-22,0,0,
153,Unknown,Malaysia,2.5,112.5,2020-01-22,0,0,
154,Unknown,Maldives,3.2028,73.2207,2020-01-22,0,0,
155,Unknown,Malta,35.9375,14.3754,2020-01-22,0,0,
156,Unknown,Mauritania,21.0079,10.9408,2020-01-22,0,0,
157,Unknown,Mauritius,-20.2,57.5,2020-01-22,0,0,
158,Unknown,Mexico,23.6345,-102.5528,2020-01-22,0,0,
159,Unknown,Moldova,47.4116,28.3699,2020-01-22,0,0,
160,Unknown,Monaco,43.7333,7.4167,2020-01-22,0,0,
161,Unknown,Mongolia,46.8625,103.8467,2020-01-22,0,0,
162,Unknown,Montenegro,42.5,19.3,2020-01-22,0,0,
163,Unknown,Morocco,31.7917,-7.0926,2020-01-22,0,0,
164,Unknown,Namibia,-22.9576,18.4904,2020-01-22,0,0,
165,Unknown,Nepal,28.1667,84.25,2020-01-22,0,0,
166,Aruba,Netherlands,12.5186,-70.0358,2020-01-22,0,0,
167,Curacao,Netherlands,12.1696,-68.99,2020-01-22,0,0,
168,Sint Maarten,Netherlands,18.0425,-63.0548,2020-01-22,0,0,
169,Unknown,Netherlands,52.1326,5.2913,2020-01-22,0,0,
170,Unknown,New Zealand,-40.9006,174.886,2020-01-22,0,0,
171,Unknown,Nicaragua,12.8654,-85.2072,2020-01-22,0,0,
172,Unknown,Niger,17.6078,8.0817,2020-01-22,0,0,
173,Unknown,Nigeria,9.082,8.6753,2020-01-22,0,0,
174,Unknown,North Macedonia,41.6086,21.7453,2020-01-22,0,0,
175,Unknown,Norway,60.472,8.4689,2020-01-22,0,0,
176,Unknown,Oman,21.0,57.0,2020-01-22,0,0,
177,Unknown,Pakistan,30.3753,69.3451,2020-01-22,0,0,
178,Unknown,Panama,8.538,-80.7821,2020-01-22,0,0,
179,Unknown,Papua New Guinea,-6.315,143.9555,2020-01-22,0,0,
180,Unknown,Paraguay,-23.4425,-58.4438,2020-01-22,0,0,
181,Unknown,Peru,-9.19,-75.0152,2020-01-22,0,0,
182,Unknown,Philippines,13.0,122.0,2020-01-22,0,0,
183,Unknown,Poland,51.9194,19.1451,2020-01-22,0,0,
184,Unknown,Portugal,39.3999,-8.2245,2020-01-22,0,0,
185,Unknown,Qatar,25.3548,51.1839,2020-01-22,0,0,
186,Unknown,Romania,45.9432,24.9668,2020-01-22,0,0,
187,Unknown,Russia,60.0,90.0,2020-01-22,0,0,
188,Unknown,Rwanda,-1.9403,29.8739,2020-01-22,0,0,
189,Unknown,Saint Lucia,13.9094,-60.9789,2020-01-22,0,0,
190,Unknown,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-01-22,0,0,
191,Unknown,San Marino,43.9424,12.4578,2020-01-22,0,0,
192,Unknown,Saudi Arabia,24.0,45.0,2020-01-22,0,0,
193,Unknown,Senegal,14.4974,-14.4524,2020-01-22,0,0,
194,Unknown,Serbia,44.0165,21.0059,2020-01-22,0,0,
195,Unknown,Seychelles,-4.6796,55.492,2020-01-22,0,0,
196,Unknown,Singapore,1.2833,103.8333,2020-01-22,0,0,
197,Unknown,Slovakia,48.669,19.699,2020-01-22,0,0,
198,Unknown,Slovenia,46.1512,14.9955,2020-01-22,0,0,
199,Unknown,Somalia,5.1521,46.1996,2020-01-22,0,0,
200,Unknown,South Africa,-30.5595,22.9375,2020-01-22,0,0,
201,Unknown,Spain,40.0,-4.0,2020-01-22,0,0,
202,Unknown,Sri Lanka,7.0,81.0,2020-01-22,0,0,
203,Unknown,Sudan,12.8628,30.2176,2020-01-22,0,0,
204,Unknown,Suriname,3.9193,-56.0278,2020-01-22,0,0,
205,Unknown,Sweden,63.0,16.0,2020-01-22,0,0,
206,Unknown,Switzerland,46.8182,8.2275,2020-01-22,0,0,
207,Unknown,Taiwan*,23.7,121.0,2020-01-22,1,0,
208,Unknown,Tanzania,-6.369,34.8888,2020-01-22,0,0,
209,Unknown,Thailand,15.0,101.0,2020-01-22,2,0,
210,Unknown,Togo,8.6195,0.8248,2020-01-22,0,0,
211,Unknown,Trinidad and Tobago,10.6918,-61.2225,2020-01-22,0,0,
212,Unknown,Tunisia,34.0,9.0,2020-01-22,0,0,
213,Unknown,Turkey,38.9637,35.2433,2020-01-22,0,0,
214,Unknown,Uganda,1.0,32.0,2020-01-22,0,0,
215,Unknown,Ukraine,48.3794,31.1656,2020-01-22,0,0,
216,Unknown,United Arab Emirates,24.0,54.0,2020-01-22,0,0,
217,Bermuda,United Kingdom,32.3078,-64.7505,2020-01-22,0,0,
218,Cayman Islands,United Kingdom,19.3133,-81.2546,2020-01-22,0,0,
219,Channel Islands,United Kingdom,49.3723,-2.3644,2020-01-22,0,0,
220,Gibraltar,United Kingdom,36.1408,-5.3536,2020-01-22,0,0,
221,Isle of Man,United Kingdom,54.2361,-4.5481,2020-01-22,0,0,
222,Montserrat,United Kingdom,16.7425,-62.1874,2020-01-22,0,0,
223,Unknown,United Kingdom,55.3781,-3.4360000000000004,2020-01-22,0,0,
224,Unknown,Uruguay,-32.5228,-55.7658,2020-01-22,0,0,
225,Unknown,US,37.0902,-95.7129,2020-01-22,1,0,
226,Unknown,Uzbekistan,41.3775,64.5853,2020-01-22,0,0,
227,Unknown,Venezuela,6.4238,-66.5897,2020-01-22,0,0,
228,Unknown,Vietnam,16.0,108.0,2020-01-22,0,0,
229,Unknown,Zambia,-15.4167,28.2833,2020-01-22,0,0,
230,Unknown,Zimbabwe,-20.0,30.0,2020-01-22,0,0,
231,Diamond Princess,Canada,0.0,0.0,2020-01-22,0,0,
232,Unknown,Dominica,15.415,-61.371,2020-01-22,0,0,
233,Unknown,Grenada,12.1165,-61.678999999999995,2020-01-22,0,0,
234,Unknown,Mozambique,-18.665695,35.529562,2020-01-22,0,0,
235,Unknown,Syria,34.802075,38.99681500000001,2020-01-22,0,0,
236,Unknown,Timor-Leste,-8.874217,125.727539,2020-01-22,0,0,
237,Unknown,Belize,13.1939,-59.5432,2020-01-22,0,0,
238,Recovered,Canada,0.0,0.0,2020-01-22,0,0,
239,Unknown,Laos,19.856270000000002,102.495496,2020-01-22,0,0,
240,Unknown,Libya,26.3351,17.228331,2020-01-22,0,0,
241,Unknown,West Bank and Gaza,31.9522,35.2332,2020-01-22,0,0,
242,Unknown,Guinea-Bissau,11.8037,-15.1804,2020-01-22,0,0,
243,Unknown,Mali,17.570692,-3.996166000000001,2020-01-22,0,0,
244,Unknown,Saint Kitts and Nevis,17.357822,-62.782998,2020-01-22,0,0,
245,Northwest Territories,Canada,64.8255,-124.8457,2020-01-22,0,0,
246,Yukon,Canada,64.2823,-135.0,2020-01-22,0,0,
247,Unknown,Kosovo,42.602636,20.902977,2020-01-22,0,0,
248,Unknown,Burma,21.9162,95.956,2020-01-22,0,0,
249,Anguilla,United Kingdom,18.2206,-63.0686,2020-01-22,0,0,
250,British Virgin Islands,United Kingdom,18.4207,-64.64,2020-01-22,0,0,
251,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,2020-01-22,0,0,
252,Unknown,MS Zaandam,0.0,0.0,2020-01-22,0,0,
253,Unknown,Botswana,-22.3285,24.6849,2020-01-22,0,0,
254,Unknown,Burundi,-3.3731,29.9189,2020-01-22,0,0,
255,Unknown,Sierra Leone,8.460555000000001,-11.779889,2020-01-22,0,0,
256,Unknown,Afghanistan,33.0,65.0,2020-01-23,0,0,
257,Unknown,Albania,41.1533,20.1683,2020-01-23,0,0,
258,Unknown,Algeria,28.0339,1.6596,2020-01-23,0,0,
259,Unknown,Andorra,42.5063,1.5218,2020-01-23,0,0,
260,Unknown,Angola,-11.2027,17.8739,2020-01-23,0,0,
261,Unknown,Antigua and Barbuda,17.0608,-61.7964,2020-01-23,0,0,
262,Unknown,Argentina,-38.4161,-63.6167,2020-01-23,0,0,
263,Unknown,Armenia,40.0691,45.0382,2020-01-23,0,0,
264,Australian Capital Territory,Australia,-35.4735,149.0124,2020-01-23,0,0,
265,New South Wales,Australia,-33.8688,151.2093,2020-01-23,0,0,
266,Northern Territory,Australia,-12.4634,130.8456,2020-01-23,0,0,
267,Queensland,Australia,-28.0167,153.4,2020-01-23,0,0,
268,South Australia,Australia,-34.9285,138.6007,2020-01-23,0,0,
269,Tasmania,Australia,-41.4545,145.9707,2020-01-23,0,0,
270,Victoria,Australia,-37.8136,144.9631,2020-01-23,0,0,
271,Western Australia,Australia,-31.9505,115.8605,2020-01-23,0,0,
272,Unknown,Austria,47.5162,14.5501,2020-01-23,0,0,
273,Unknown,Azerbaijan,40.1431,47.5769,2020-01-23,0,0,
274,Unknown,Bahamas,25.0343,-77.3963,2020-01-23,0,0,
275,Unknown,Bahrain,26.0275,50.55,2020-01-23,0,0,
276,Unknown,Bangladesh,23.685,90.3563,2020-01-23,0,0,
277,Unknown,Barbados,13.1939,-59.5432,2020-01-23,0,0,
278,Unknown,Belarus,53.7098,27.9534,2020-01-23,0,0,
279,Unknown,Belgium,50.8333,4.0,2020-01-23,0,0,
280,Unknown,Benin,9.3077,2.3158,2020-01-23,0,0,
281,Unknown,Bhutan,27.5142,90.4336,2020-01-23,0,0,
282,Unknown,Bolivia,-16.2902,-63.5887,2020-01-23,0,0,
283,Unknown,Bosnia and Herzegovina,43.9159,17.6791,2020-01-23,0,0,
284,Unknown,Brazil,-14.235,-51.9253,2020-01-23,0,0,
285,Unknown,Brunei,4.5353,114.7277,2020-01-23,0,0,
286,Unknown,Bulgaria,42.7339,25.4858,2020-01-23,0,0,
287,Unknown,Burkina Faso,12.2383,-1.5616,2020-01-23,0,0,
288,Unknown,Cabo Verde,16.5388,-23.0418,2020-01-23,0,0,
289,Unknown,Cambodia,11.55,104.9167,2020-01-23,0,0,
290,Unknown,Cameroon,3.8480000000000003,11.5021,2020-01-23,0,0,
291,Alberta,Canada,53.9333,-116.5765,2020-01-23,0,0,
292,British Columbia,Canada,49.2827,-123.1207,2020-01-23,0,0,
293,Grand Princess,Canada,37.6489,-122.6655,2020-01-23,0,0,
294,Manitoba,Canada,53.7609,-98.8139,2020-01-23,0,0,
295,New Brunswick,Canada,46.5653,-66.4619,2020-01-23,0,0,
296,Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-01-23,0,0,
297,Nova Scotia,Canada,44.681999999999995,-63.7443,2020-01-23,0,0,
298,Ontario,Canada,51.2538,-85.3232,2020-01-23,0,0,
299,Prince Edward Island,Canada,46.5107,-63.4168,2020-01-23,0,0,
300,Quebec,Canada,52.9399,-73.5491,2020-01-23,0,0,
301,Saskatchewan,Canada,52.9399,-106.4509,2020-01-23,0,0,
302,Unknown,Central African Republic,6.6111,20.9394,2020-01-23,0,0,
303,Unknown,Chad,15.4542,18.7322,2020-01-23,0,0,
304,Unknown,Chile,-35.6751,-71.543,2020-01-23,0,0,
305,Anhui,China,31.8257,117.2264,2020-01-23,9,0,
306,Beijing,China,40.1824,116.4142,2020-01-23,22,0,
307,Chongqing,China,30.0572,107.874,2020-01-23,9,0,
308,Fujian,China,26.0789,117.9874,2020-01-23,5,0,
309,Gansu,China,37.8099,101.0583,2020-01-23,2,0,
310,Guangdong,China,23.3417,113.4244,2020-01-23,32,0,
311,Guangxi,China,23.8298,108.7881,2020-01-23,5,0,
312,Guizhou,China,26.8154,106.8748,2020-01-23,3,0,
313,Hainan,China,19.1959,109.7453,2020-01-23,5,0,
314,Hebei,China,39.549,116.1306,2020-01-23,1,1,
315,Heilongjiang,China,47.861999999999995,127.7615,2020-01-23,2,0,
316,Henan,China,33.882,113.61399999999999,2020-01-23,5,0,
317,Hong Kong,China,22.3,114.2,2020-01-23,2,0,
318,Hubei,China,30.9756,112.2707,2020-01-23,444,17,
319,Hunan,China,27.6104,111.7088,2020-01-23,9,0,
320,Inner Mongolia,China,44.0935,113.9448,2020-01-23,0,0,
321,Jiangsu,China,32.9711,119.455,2020-01-23,5,0,
322,Jiangxi,China,27.614,115.7221,2020-01-23,7,0,
323,Jilin,China,43.6661,126.1923,2020-01-23,1,0,
324,Liaoning,China,41.2956,122.6085,2020-01-23,3,0,
325,Macau,China,22.1667,113.55,2020-01-23,2,0,
326,Ningxia,China,37.2692,106.1655,2020-01-23,1,0,
327,Qinghai,China,35.7452,95.9956,2020-01-23,0,0,
328,Shaanxi,China,35.1917,108.8701,2020-01-23,3,0,
329,Shandong,China,36.3427,118.1498,2020-01-23,6,0,
330,Shanghai,China,31.201999999999998,121.4491,2020-01-23,16,0,
331,Shanxi,China,37.5777,112.2922,2020-01-23,1,0,
332,Sichuan,China,30.6171,102.7103,2020-01-23,8,0,
333,Tianjin,China,39.3054,117.323,2020-01-23,4,0,
334,Tibet,China,31.6927,88.0924,2020-01-23,0,0,
335,Xinjiang,China,41.1129,85.2401,2020-01-23,2,0,
336,Yunnan,China,24.974,101.48700000000001,2020-01-23,2,0,
337,Zhejiang,China,29.1832,120.0934,2020-01-23,27,0,
338,Unknown,Colombia,4.5709,-74.2973,2020-01-23,0,0,
339,Unknown,Congo (Brazzaville),-4.0383,21.7587,2020-01-23,0,0,
340,Unknown,Congo (Kinshasa),-4.0383,21.7587,2020-01-23,0,0,
341,Unknown,Costa Rica,9.7489,-83.7534,2020-01-23,0,0,
342,Unknown,Cote d'Ivoire,7.54,-5.5471,2020-01-23,0,0,
343,Unknown,Croatia,45.1,15.2,2020-01-23,0,0,
344,Unknown,Diamond Princess,0.0,0.0,2020-01-23,0,0,
345,Unknown,Cuba,22.0,-80.0,2020-01-23,0,0,
346,Unknown,Cyprus,35.1264,33.4299,2020-01-23,0,0,
347,Unknown,Czechia,49.8175,15.472999999999999,2020-01-23,0,0,
348,Faroe Islands,Denmark,61.8926,-6.9118,2020-01-23,0,0,
349,Greenland,Denmark,71.7069,-42.6043,2020-01-23,0,0,
350,Unknown,Denmark,56.2639,9.5018,2020-01-23,0,0,
351,Unknown,Djibouti,11.8251,42.5903,2020-01-23,0,0,
352,Unknown,Dominican Republic,18.7357,-70.1627,2020-01-23,0,0,
353,Unknown,Ecuador,-1.8312,-78.1834,2020-01-23,0,0,
354,Unknown,Egypt,26.0,30.0,2020-01-23,0,0,
355,Unknown,El Salvador,13.7942,-88.8965,2020-01-23,0,0,
356,Unknown,Equatorial Guinea,1.5,10.0,2020-01-23,0,0,
357,Unknown,Eritrea,15.1794,39.7823,2020-01-23,0,0,
358,Unknown,Estonia,58.5953,25.0136,2020-01-23,0,0,
359,Unknown,Eswatini,-26.5225,31.4659,2020-01-23,0,0,
360,Unknown,Ethiopia,9.145,40.4897,2020-01-23,0,0,
361,Unknown,Fiji,-17.7134,178.065,2020-01-23,0,0,
362,Unknown,Finland,64.0,26.0,2020-01-23,0,0,
363,French Guiana,France,3.9339,-53.1258,2020-01-23,0,0,
364,French Polynesia,France,-17.6797,149.4068,2020-01-23,0,0,
365,Guadeloupe,France,16.25,-61.5833,2020-01-23,0,0,
366,Mayotte,France,-12.8275,45.1662,2020-01-23,0,0,
367,New Caledonia,France,-20.9043,165.618,2020-01-23,0,0,
368,Reunion,France,-21.1351,55.2471,2020-01-23,0,0,
369,Saint Barthelemy,France,17.9,-62.8333,2020-01-23,0,0,
370,St Martin,France,18.0708,-63.0501,2020-01-23,0,0,
371,Martinique,France,14.6415,-61.0242,2020-01-23,0,0,
372,Unknown,France,46.2276,2.2137,2020-01-23,0,0,
373,Unknown,Gabon,-0.8037,11.6094,2020-01-23,0,0,
374,Unknown,Gambia,13.4432,-15.3101,2020-01-23,0,0,
375,Unknown,Georgia,42.3154,43.3569,2020-01-23,0,0,
376,Unknown,Germany,51.0,9.0,2020-01-23,0,0,
377,Unknown,Ghana,7.9465,-1.0232,2020-01-23,0,0,
378,Unknown,Greece,39.0742,21.8243,2020-01-23,0,0,
379,Unknown,Guatemala,15.7835,-90.2308,2020-01-23,0,0,
380,Unknown,Guinea,9.9456,-9.6966,2020-01-23,0,0,
381,Unknown,Guyana,5.0,-58.75,2020-01-23,0,0,
382,Unknown,Haiti,18.9712,-72.2852,2020-01-23,0,0,
383,Unknown,Holy See,41.9029,12.4534,2020-01-23,0,0,
384,Unknown,Honduras,15.2,-86.2419,2020-01-23,0,0,
385,Unknown,Hungary,47.1625,19.5033,2020-01-23,0,0,
386,Unknown,Iceland,64.9631,-19.0208,2020-01-23,0,0,
387,Unknown,India,21.0,78.0,2020-01-23,0,0,
388,Unknown,Indonesia,-0.7893,113.9213,2020-01-23,0,0,
389,Unknown,Iran,32.0,53.0,2020-01-23,0,0,
390,Unknown,Iraq,33.0,44.0,2020-01-23,0,0,
391,Unknown,Ireland,53.1424,-7.6921,2020-01-23,0,0,
392,Unknown,Israel,31.0,35.0,2020-01-23,0,0,
393,Unknown,Italy,43.0,12.0,2020-01-23,0,0,
394,Unknown,Jamaica,18.1096,-77.2975,2020-01-23,0,0,
395,Unknown,Japan,36.0,138.0,2020-01-23,2,0,
396,Unknown,Jordan,31.24,36.51,2020-01-23,0,0,
397,Unknown,Kazakhstan,48.0196,66.9237,2020-01-23,0,0,
398,Unknown,Kenya,-0.0236,37.9062,2020-01-23,0,0,
399,Unknown,"Korea, South",36.0,128.0,2020-01-23,1,0,
400,Unknown,Kuwait,29.5,47.75,2020-01-23,0,0,
401,Unknown,Kyrgyzstan,41.2044,74.7661,2020-01-23,0,0,
